#OTUId	62.AVI372_T	07.AVI413	54.AVI323_1	26.AVI335	40.AVI446_TA	66.AVI404_T	29.AVI420_T	41.AVI471_T	15.AVI440	63.AVI372_TA	68.AVI448_1	39.AVI446_T	02.AVI383	57.AVI352_2	36.AVI429_2	49.AVI355	03.AVI403	37.AVI434_T	65.AVI376_TA	21.AVI340	01.AVI369	70.AVI406_T	59.AVI354_2	58.AVI354_1	46.AVI332	60.AVI362_T	64.AVI376_T	55.AVI323_2	47.AVI349	11.AVI433	44.AVI327	33.AVI427_1	30.AVI420_TA	28.AVI390_2	48.AVI353	25.AVI334	24.AVI333	35.AVI429_1	69.AVI448_2	32.AVI422_TA	31.AVI422_T	45.AVI328	34.AVI427_2	12.AVI436	20.AVI339	38.AVI434_TA	16.AVI470	27.AVI390_1	19.AVI338	67.AVI409_T	13.AVI438	04.AVI408	14.AVI439	61.AVI362_TA	08.AVI414	56.AVI352_1	taxonomy
OTU_367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Janthinobacterium;
OTU_423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Klebsiella;
OTU_100	38	42	118	251	48	22	133	43	49	19	89	112	29	70	100	171	64	8	65	158	110	54	108	161	49	87	120	123	56	69	82	50	123	44	20	129	168	67	104	49	140	69	56	38	93	24	42	93	160	7	22	384	29	87	40	59	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_21	91	322	889	560	440	397	258	99	132	108	178	918	176	231	167	233	360	329	130	453	408	295	439	115	178	433	183	579	418	146	355	114	322	152	1100	59	255	204	91	153	347	182	202	579	246	157	173	181	101	94	135	404	423	453	63	133	Bacteria;Bacteroidetes;;;;;
OTU_131	8	2	187	8	107	139	8	205	6	0	27	426	29	20	15	255	0	224	95	10	3	302	53	15	47	8	65	55	101	4	47	8	0	24	772	6	26	23	22	14	25	31	15	9	55	349	2	10	43	40	12	0	17	2	1	19	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella;
OTU_30	44	56	76	339	54	61	104	0	185	18	31	40	28	231	238	341	72	2	0	429	113	52	142	565	114	374	0	215	126	0	73	32	128	259	0	107	27	152	45	209	358	512	45	1	313	0	534	310	447	0	330	1686	228	452	354	331	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_33	0	65	851	110	511	248	48	2	174	2	0	1274	423	160	66	116	179	18	57	201	125	212	245	81	211	17	99	667	189	109	178	71	67	133	76	279	247	105	2	0	4	196	94	376	658	28	36	73	37	77	220	145	416	23	37	88	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
OTU_127	0	23	2	36	1	0	36	0	0	0	2	6	15	1	0	8	18	8	4	118	11	13	39	3	175	61	4	3	1	10	639	0	21	3	41	38	6	0	2	0	3	166	1	2	16	7	3	6	8	3	40	15	7	127	1	0	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae_incertae_sedis;
OTU_1530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Cyanobacteria/Chloroplast;Chloroplast;Chloroplast;Chloroplast;Streptophyta;
OTU_89	3	45	12	56	153	11	4	72	259	2	0	164	5	11	56	66	6	6	7	236	63	16	199	458	9	9	1	9	2	0	15	5	3	9	2	29	7	32	0	12	31	34	11	0	32	39	12	14	10	6	226	713	57	4	10	23	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
